stationname,avglat,avglong,avgdepth,sname
1,62.4138,6.0510,300.3,1
10,78.5765,16.4102,93.0,10
12,78.5440,16.3450,109.0,12
17,78.5103,16.2875,54.0,17
195,79.7543,29.5854,201.0,195
196,79.6776,32.3001,356.0,196
198,79.7711,31.9789,118.0,198
199,79.7372,32.0990,102.0,199
2,78.6623,16.7430,191.0,2
200,79.6946,32.2662,302.0,200
201,79.6840,32.3169,359.0,201
202,79.6743,32.3496,357.0,202
203,79.6575,32.4090,361.0,203
204,79.6758,32.3151,356.0,204
205,79.6712,32.3056,360.0,205
206,80.0720,33.9498,231.0,206
207,80.0598,34.1777,225.0,207
208,80.0417,34.4943,189.4,208
209,80.2798,34.3811,315.2,209
210,81.3025,31.3428,184.0,210
211,81.3024,31.3407,184.0,211
212,81.4135,31.2514,209.0,212
213,81.4171,31.2581,212.0,213
214,81.4487,31.1603,379.0,214
215,81.4718,31.1520,527.2,215
216,81.4971,31.0946,670.8,216
217,81.5231,30.9766,774.8,217
218,81.5509,30.8977,891.7,218
219,81.5648,31.1000,990.6,219
220,81.5698,31.0271,1070.9,220
221,81.5695,30.7792,1271.4,221
222,81.6085,30.6773,1837.9,222
223,81.6346,30.6740,2112.0,223
224,81.7235,30.4954,2926.8,224
225,81.4067,31.2352,210.0,225
226,81.4135,31.2368,211.0,226
227,81.5488,30.8711,878.0,227
228,81.5472,30.8388,876.0,228
229,81.5482,30.8907,873.0,229
23,78.4482,16.0323,116.0,23
230,81.4599,31.0591,505.0,230
231,81.4577,31.0753,496.0,231
232,81.0857,29.7036,227.0,232
233,81.0864,29.2898,362.2,233
234,81.0828,28.8580,353.9,234
235,81.0796,28.5479,241.1,235
236,81.0833,28.1995,117.8,236
237,81.4152,23.9901,297.6,237
238,81.4097,24.0909,272.7,238
239,81.5108,24.0179,706.4,239
240,81.5121,24.0180,710.0,240
241,81.5843,24.0437,1205.2,241
242,81.5907,23.9999,1212.0,242
243,81.5366,24.0403,804.3,243
244,81.4615,24.0702,496.3,244
245,81.3909,24.0892,199.4,245
246,81.3828,22.2486,502.5,246
247,81.3814,22.2714,499.8,247
248,81.3828,22.2502,502.0,248
249,81.3825,22.2687,502.0,249
250,81.4852,21.9300,854.7,250
251,81.4860,21.9378,855.0,251
252,81.0338,18.4133,232.0,252
254,81.0339,18.4169,230.0,254
255,80.6204,6.8638,732.0,255
298,76.7437,22.7775,145.0,298
299,77.1973,23.5775,120.0,299
3,78.6425,16.6048,177.0,3
30,78.4127,15.9607,190.0,30
300,77.2390,24.0448,91.0,300
302,77.3133,24.9455,82.0,302
303,77.1347,24.5913,65.0,303
304,77.1965,24.6518,71.0,304
305,77.2692,24.4058,69.5,305
306,77.3449,24.3767,62.6,306
307,77.4199,24.3261,44.2,307
309,77.8525,31.9128,172.0,309
31,78.3762,15.7832,173.0,31
311,77.8800,31.5513,230.0,311
312,79.5602,28.2872,316.0,312
315,79.6313,27.9673,178.0,315
316,79.5694,28.1586,301.0,316
32,78.3378,15.5867,184.0,32
320,79.7539,28.3733,168.0,320
321,79.7546,28.6750,221.0,321
322,79.7544,28.9834,278.0,322
323,79.7542,29.2805,223.0,323
324,79.7549,29.5786,196.0,324
325,79.6782,32.3045,356.0,325
326,79.7678,31.9759,120.0,326
327,79.7361,32.0970,99.0,327
328,79.7061,32.2147,239.0,328
329,79.6944,32.2613,297.0,329
33,78.3050,15.4233,260.0,33
330,79.6844,32.3020,357.0,330
331,79.6749,32.3437,362.0,331
332,79.6592,32.4010,369.0,332
333,79.6731,32.3133,356.0,333
334,80.0690,33.9347,232.2,334
335,80.0562,34.1604,224.2,335
336,80.0360,34.4711,180.7,336
337,80.2787,34.3680,316.5,337
338,81.3024,31.3408,184.0,338
339,81.4097,31.2402,201.0,339
34,78.2581,15.2641,242.0,34
340,81.4097,31.2399,203.0,340
341,81.4438,31.1403,347.0,341
342,81.4634,31.1061,0.0,342
343,81.4921,31.0516,657.1,343
344,81.5204,30.9478,761.8,344
345,81.5488,30.8708,880.6,345
346,81.5740,30.9971,1202.6,346
347,81.5568,30.8151,0.0,347
348,81.5714,30.7708,1291.6,348
349,81.6100,30.6751,0.0,349
35,78.2228,15.0958,237.0,35
350,81.6338,30.6679,2092.9,350
351,81.7223,30.4793,2920.6,351
352,81.4115,31.2376,211.0,352
353,81.4104,31.2429,203.8,353
354,81.4115,31.2397,209.0,354
355,81.4109,31.2424,205.1,355
356,81.4115,31.2383,208.4,356
357,81.4112,31.2402,209.8,357
358,81.4108,31.2421,206.1,358
359,81.4113,31.2379,208.9,359
36,78.1824,14.8555,217.0,36
360,81.4111,31.2394,209.9,360
361,81.4107,31.2420,206.6,361
362,81.4114,31.2382,208.6,362
363,81.4112,31.2397,210.2,363
364,81.4116,31.2386,209.4,364
365,81.4117,31.2402,209.5,365
366,81.4118,31.2418,210.2,366
367,81.4120,31.2442,208.1,367
368,81.4119,31.2429,208.6,368
369,81.4118,31.2404,208.7,369
37,78.1528,14.5648,209.0,37
370,81.4116,31.2364,208.3,370
371,81.4116,31.2382,208.2,371
372,81.4116,31.2392,208.4,372
373,81.4116,31.2402,209.5,373
374,81.4116,31.2410,209.4,374
375,81.4113,31.2373,208.9,375
376,81.4111,31.2385,208.3,376
377,81.4108,31.2393,207.5,377
378,81.4108,31.2379,207.5,378
379,81.4111,31.2387,209.7,379
38,78.1373,14.2992,206.0,38
380,81.4113,31.2391,209.2,380
381,81.4110,31.2402,207.6,381
382,81.4112,31.2380,208.4,382
383,81.4104,31.2380,210.0,383
384,81.4113,31.2333,210.0,384
385,81.4108,31.2399,210.0,385
386,81.4110,31.2403,210.0,386
387,81.4112,31.2365,210.0,387
388,81.4111,31.2384,210.0,388
